model,score,time
mistral,3,15.02
mistral,10,24.1
mistral,7,20.33
mistral,10,26.34
mistral,2,25.44
mistral,9,30.98
mistral,9,29.08
mistral,10,37.04
mistral,2,21.89
mistral,7,28.1
mistral,9,52.45
mistral,10,120.25
mistral,10,74.95
mistral,9,83.27
mistral,9,88.78
mistral,10,80.54
mistral,10,88.44
mistral,10,110.23
mistral,10,95.9
mistral,10,74.69
mistral,10,45.81
mistral,9,86.17
mistral,6,48.85
mistral,10,71.89
mistral,9,58.08
mistral,10,75.47
mistral,10,45.43
mistral,9,99.97
mistral,10,74.96
mistral,10,57.69
mistral,10,52.71
mistral,10,59.54
mistral,10,72.45
mistral,10,62.65
mistral,9,79.81
mistral,10,73.46
mistral,8,61.08
mistral,10,47.38
mistral,10,53.64
mistral,10,59.92
mistral,10,69.14
mistral,4,37.31
mistral,10,57.97
mistral,10,96.87
mistral,10,85.65
mistral,10,53.4
mistral,8,61.87
mistral,10,78.46
mistral,9,48.2
mistral,10,42.03
